模型,TemplateCode,分类,免费额度,已消耗,剩余比例,剩余比例值,到期时间,到期提示,状态,Safemode,SupportSafe,当前容量,初始容量
qwen3-asr-flash-realtime-2026-02-10,sfm_inferenceQwenAudio_public_cn_20260209205429_0735,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
qwen3-livetranslate-flash-realtime,sfm_inference_public_cn_20251111100301_0247,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-livetranslate-flash-realtime-2025-09-22,sfm_inference_public_cn_20251111100302_0268,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-max-2025-10-30,sfm_inference_public_cn_20251111100307_0803,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-omni-flash-realtime,sfm_inference_public_cn_20251111100317_0051,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-omni-flash-realtime-2025-09-15,sfm_inference_public_cn_20251111100318_0292,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-omni-flash-realtime-2025-12-01,sfm_inference_public_cn_20251203113759_0030,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-rerank,sfm_inference_public_cn_20251111100319_0165,llm,1M tokens,64.6K tokens,93.54%,93.54,2026-10-21,剩余 55 天,valid,off,True,935418.0,1000000.0
qwen3-tts-flash-realtime,sfm_inference_public_cn_20251111100321_0644,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
qwen3-tts-flash-realtime-2025-09-18,sfm_inference_public_cn_20251111100619_0887,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
qwen3-tts-flash-realtime-2025-11-27,sfm_inference_public_cn_20251126091909_0521,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
qwen3-tts-instruct-flash-realtime,sfm_inferenceQwenAudio_public_cn_20260129184829_0752,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
qwen3-tts-instruct-flash-realtime-2026-01-22,sfm_inferenceQwenAudio_public_cn_20260129184914_0224,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
qwen3-tts-vc-realtime-2025-11-27,sfm_inference_public_cn_20251126092134_0601,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
qwen3-tts-vc-realtime-2026-01-15,sfm_inference_public_cn_20260114110449_0699,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
qwen3-tts-vd-realtime-2025-12-16,sfm_inference_public_cn_20251215144839_0484,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
qwen3-tts-vd-realtime-2026-01-15,sfm_inference_public_cn_20260114110625_0475,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
